레시피ID,레시피명,메뉴 대분류,세부 카테고리,주재료,조리 유형,상황 태그,식사 유형,매운맛,기준 인분,재료명,재료 분량,재료 수,총 소요 시간(분),난이도,필요 도구,설거지 수준,조리 단계 수,조리 단계,단계별 시간,불 세기,보관 방법,재가열 방법,대체 재료,생략 가능 재료,초보 팁,실패 방지 팁,초보 적합도(5점),1인 가구 적합도(5점)
R0001,가지구이,반찬,구이,[가지],[굽기],"[15분 이하, 원팬 요리, 도시락 가능, 밥반찬]",[점심·저녁],없음,1인분,"[가지, 식용유, 진간장, 식초, 설탕, 다진 대파, 통깨]","[1개(180g), 10ml(2작은술), 5ml(1작은술), 5ml(1작은술), 2g(1/2작은술), 10g, 2g(1/2작은술)]",7,15,매우 쉬움,"[칼, 도마, 프라이팬, 뒤집개, 작은 그릇]",보통,6,"[1. 가지는 씻어 꼭지를 제거하고 1cm 두께로 길게 썬다. ,  2. 작은 그릇에 진간장, 식초, 설탕, 다진 대파, 통깨를 섞어 양념장을 만든다. ,  3. 프라이팬을 중불로 1분 예열한 뒤 식용유 5ml를 두른다. ,  4. 가지를 겹치지 않게 올리고 남은 식용유 5ml를 표면에 나눠 바른다. ,  5. 중불에서 앞뒤로 각각 3분씩 구워 갈색 자국이 나고 속이 부드러워지면 접시에 담는다. ,  6. 양념장을 고르게 끼얹어 바로 먹는다.]","[1. 약 3분 ,  2. 약 1분 ,  3. 1분 ,  4. 약 1분 ,  5. 총 6분(앞뒤 각 3분) ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 중불 ,  4. 중불 ,  5. 중불 ,  6. 불 사용 없음]",가능하면 바로 먹는다; 남으면 밀폐 냉장 1일,전자레인지 700W 기준 40~60초 데운다,"[대파는 쪽파 5g으로 대체하거나 생략 가능,  식초는 레몬즙 5ml로 대체 가능]",[대파는 쪽파 5g으로 대체하거나 생략 가능],재료 표면의 물기를 닦고 팬을 충분히 예열한 뒤 올리면 달라붙음과 물 생김을 줄일 수 있다.,가지를 너무 얇게 썰면 기름을 많이 먹고 찢어진다. 팬에 겹치지 않게 한 번에 굽는다.,5,5
R0002,가지무침,반찬,무침,[가지],"[전자레인지, 무치기]","[15분 이하, 전자레인지, 불 없이 가능, 도시락 가능, 밥반찬]",[점심·저녁],약간 매움,1인분,"[가지, 진간장, 다진 마늘, 참기름, 고춧가루, 다진 대파, 통깨]","[1개(180g), 7.5ml(1/2큰술), 2g(1/2작은술), 5ml(1작은술), 1g(1/2작은술), 8g, 2g(1/2작은술)]",7,12,매우 쉬움,"[칼, 도마, 전자레인지용 용기, 젓가락, 볼]",보통,6,"[1. 가지는 씻어 꼭지를 제거하고 길이 5cm, 두께 1cm 막대 모양으로 썬다. ,  2. 전자레인지용 용기에 가지와 물 15ml(1큰술)를 넣고 뚜껑을 살짝 덮는다. ,  3. 전자레인지 700W에서 3분 30초 익힌 뒤 1분 두어 김을 뺀다. ,  4. 볼에 진간장, 다진 마늘, 참기름, 고춧가루, 다진 대파, 통깨를 섞는다. ,  5. 가지가 손으로 만질 수 있을 정도로 식으면 물기를 가볍게 눌러 뺀다. ,  6. 양념에 가지를 넣고 부서지지 않게 젓가락으로 섞는다.]","[1. 약 3분 ,  2. 약 1분 ,  3. 3분 30초 + 1분 ,  4. 약 1분 ,  5. 약 1분 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 전자레인지 700W ,  4. 불 사용 없음 ,  5. 불 사용 없음 ,  6. 불 사용 없음]",밀폐 냉장 2일; 냉동은 권하지 않는다,차갑게 먹거나 전자레인지 700W에서 30초만 미지근하게 데운다,"[대파는 쪽파로 대체 가능,  참기름은 들기름 5ml로 대체 가능]",[고춧가루는 생략 가능],채소의 물기를 충분히 뺀 뒤 먹기 직전에 양념하면 물이 덜 생기고 간도 흐려지지 않는다.,익힌 가지를 세게 짜면 식감이 뭉개진다. 물기가 흐르지 않을 정도로만 눌러 뺀다.,5,5
R0003,가지볶음,반찬,볶음,"[가지, 양파]",[볶기],"[15분 이하, 원팬 요리, 설거지 적음, 도시락 가능, 밥반찬]",[점심·저녁],없음,1인분,"[가지, 양파, 식용유, 진간장, 굴소스, 다진 마늘, 물, 참기름, 통깨]","[1개(180g), 1/4개(50g), 10ml(2작은술), 10ml(2작은술), 5ml(1작은술), 2g(1/2작은술), 30ml(2큰술), 2.5ml(1/2작은술), 1g]",9,15,쉬움,"[칼, 도마, 프라이팬, 뒤집개]",적음,6,"[1. 가지는 길이 5cm, 두께 1cm 막대로 썰고 양파는 0.5cm 두께로 썬다. ,  2. 프라이팬에 식용유를 두르고 중불에서 30초 예열한다. ,  3. 양파와 다진 마늘을 넣어 1분 볶는다. ,  4. 가지를 넣고 2분 볶은 뒤 물 30ml를 넣고 뚜껑을 덮어 3분 익힌다. ,  5. 진간장과 굴소스를 넣고 뚜껑을 열어 2분 더 볶는다. ,  6. 가지가 부드럽고 팬에 물기가 거의 없으면 불을 끄고 참기름과 통깨를 섞는다.]","[1. 약 3분 ,  2. 30초 ,  3. 1분 ,  4. 2분 + 3분 ,  5. 2분 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 중불 ,  3. 중불 ,  4. 중불 ,  5. 중불 ,  6. 불 끔]",밀폐 냉장 2일; 냉동은 식감이 무르므로 비추천,전자레인지 700W 기준 1분 데우고 한 번 섞는다,[굴소스는 진간장 5ml와 설탕 1g으로 대체 가능],[양파는 생략 가능],"재료와 양념을 불을 켜기 전에 모두 꺼내 두고, 팬에 물이 생기지 않도록 한 번에 너무 많이 넣지 않는다.",처음부터 간장을 넣으면 가지가 익기 전에 짜질 수 있다. 물로 먼저 익힌 뒤 양념한다.,4,5
R0004,간장 계란밥,밥·덮밥,간편 비빔밥,"[밥, 계란]","[전자레인지, 굽기, 비비기]","[10분 이하, 원팬 요리, 전자레인지, 칼 없이 가능, 설거지 적음, 아침 식사, 든든한 한 끼]","[아침, 점심·저녁]",없음,1인분,"[따뜻한 밥, 계란, 식용유, 진간장, 참기름, 김가루, 통깨]","[200g, 1개(50g), 5ml(1작은술), 7.5ml(1/2큰술), 5ml(1작은술), 3g, 1g]",7,7,매우 쉬움,"[프라이팬, 뒤집개, 밥그릇]",적음,5,"[1. 밥이 차갑다면 전자레인지 700W에서 1분 30초 데운다. ,  2. 프라이팬에 식용유를 두르고 중약불로 30초 예열한다. ,  3. 계란을 깨 넣고 흰자가 익을 때까지 2~3분 굽는다. ,  4. 밥 위에 계란프라이를 올린다. ,  5. 진간장, 참기름, 김가루, 통깨를 넣고 노른자를 터뜨려 고루 비빈다.]","[1. 1분 30초 ,  2. 30초 ,  3. 2~3분 ,  4. 약 1분 ,  5. 약 1분]","[1. 전자레인지 700W ,  2. 중약불 ,  3. 중약불 ,  4. 불 사용 없음 ,  5. 불 사용 없음]",완성 후 바로 먹는다; 남은 완성품 보관은 권하지 않는다; 밥과 계란은 따로 준비해 즉시 조리한다,재가열 권장하지 않음,[진간장은 소금 0.8g으로 대체 가능],[김가루와 통깨는 생략 가능],밥은 미리 따뜻하게 풀어 두고 양념은 절반만 먼저 넣은 뒤 맛을 보고 추가한다.,간장을 한꺼번에 많이 넣으면 되돌리기 어렵다. 처음에는 5ml만 넣고 부족하면 2.5ml를 추가한다.,5,5
R0005,간장 닭조림,메인요리,조림,"[닭다리살, 감자, 양파]","[굽기, 조리기]","[도시락 가능, 든든한 한 끼, 밥반찬]",[점심·저녁],없음,1인분,"[닭다리살, 감자, 양파, 물, 진간장, 설탕, 맛술, 다진 마늘, 식용유, 후추]","[180g, 1/2개(100g), 1/4개(50g), 150ml, 20ml(1큰술+1작은술), 6g(1/2큰술), 10ml(2작은술), 5g(1작은술), 5ml(1작은술), 0.1g]",10,30,보통,"[칼, 도마, 깊은 프라이팬 또는 냄비, 집게, 계량컵]",보통,7,"[1. 닭다리살은 4cm 크기로 자르고 키친타월로 표면 물기를 닦는다. ,  2. 감자는 2cm 크기로, 양파는 1cm 폭으로 썬다. ,  3. 팬에 식용유를 두르고 중불에서 닭을 껍질 쪽부터 3분, 뒤집어 2분 굽는다. ,  4. 감자와 양파를 넣고 1분 볶는다. ,  5. 물, 진간장, 설탕, 맛술, 다진 마늘, 후추를 넣고 끓인다. ,  6. 끓으면 중약불로 낮춰 뚜껑을 반쯤 덮고 15분 조린다. ,  7. 닭 속이 분홍색 없이 익고 감자가 젓가락에 쉽게 찔리면 센불에서 1~2분 졸여 마무리한다.]","[1. 약 3분 ,  2. 약 1분 ,  3. 3분 + 2분 ,  4. 1분 ,  5. 약 2분 ,  6. 15분 ,  7. 1~2분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 중불 ,  4. 중불 ,  5. 중불 ,  6. 중약불 ,  7. 센 불]",조리 후 2시간 안에 밀폐 냉장하고 2일 이내 섭취,냄비에 물 15ml를 넣어 끓이거나 전자레인지 700W에서 2분 이상 중심까지 뜨겁게 데운다,"[닭다리살은 닭가슴살 180g으로 대체 가능하나 조림 시간을 10분으로 줄인다,  맛술은 물 10ml로 대체 가능]",[없음],"양념은 불을 켜기 전에 한 그릇에 미리 섞고, 국물이 빨리 줄면 물을 1큰술씩 보충한다.",닭을 너무 크게 자르면 속이 늦게 익는다. 가장 두꺼운 조각을 잘라 분홍색이 없는지 확인한다.,3,4
R0006,감자 계란국,국·탕,국,"[감자, 계란]",[끓이기],"[냄비 하나, 아침 식사, 남은 재료 활용]","[아침, 점심·저녁]",없음,1인분,"[감자, 계란, 대파, 물, 국간장, 다진 마늘, 소금, 후추]","[1/2개(100g), 1개(50g), 10g, 450ml, 7.5ml(1/2큰술), 2g(1/2작은술), 1g, 0.1g]",8,18,매우 쉬움,"[칼, 도마, 냄비, 볼, 젓가락, 국자]",보통,6,"[1. 감자는 껍질을 벗겨 0.5cm 두께 반달 모양으로 썰고 대파는 송송 썬다. ,  2. 냄비에 물과 감자를 넣고 센불에서 끓인다. ,  3. 끓으면 중불로 낮춰 7분간 감자가 거의 익을 때까지 끓인다. ,  4. 계란은 볼에 깨서 젓가락으로 20회 정도 풀어둔다. ,  5. 국간장, 다진 마늘, 소금을 넣고 간한 뒤 국물을 원을 그리며 저으면서 계란물을 천천히 붓는다. ,  6. 30초 건드리지 않은 뒤 대파와 후추를 넣고 1분 더 끓인다.]","[1. 약 3분 ,  2. 약 2분 ,  3. 7분 ,  4. 약 1분 ,  5. 약 1분 ,  6. 30초 + 1분]","[1. 불 사용 없음 ,  2. 센 불 ,  3. 중불 ,  4. 불 사용 없음 ,  5. 불 사용 없음 ,  6. 중불]",밀폐 냉장 2일; 냉동은 감자 식감이 푸석해져 비추천,냄비에서 완전히 끓인 뒤 1분 더 가열한다,[국간장은 진간장 5ml와 소금 0.5g으로 대체 가능],[대파는 생략 가능],"재료를 비슷한 크기로 썰고, 끓기 시작한 뒤 불을 낮춘 다음 마지막에 간을 맞춘다.",계란물을 붓자마자 세게 저으면 국물이 탁해진다. 30초 기다린 뒤 한두 번만 젓는다.,5,5
R0007,감자샐러드,샐러드,샐러드,"[감자, 오이, 당근]","[전자레인지, 삶기, 무치기]","[냄비 하나, 전자레인지]",[점심·저녁],없음,1인분,"[감자, 오이, 당근, 마요네즈, 설탕, 소금, 후추]","[1개(200g), 1/4개(50g), 20g, 30g(2큰술), 3g(3/4작은술), 1g, 0.1g]",7,25,쉬움,"[칼, 도마, 냄비 또는 전자레인지용 용기, 볼, 포크]",보통,6,"[1. 감자는 껍질을 벗겨 2cm 크기로 썰고 물에 한 번 헹군다. ,  2. 냄비에 감자와 잠길 만큼의 물을 넣고 끓기 시작한 뒤 10분 삶는다. ,  3. 오이는 2mm 두께로 썰어 소금 0.5g을 뿌리고 5분 뒤 물기를 꼭 짠다. ,  4. 당근은 잘게 다져 전자레인지 700W에서 40초 익힌다. ,  5. 감자가 젓가락에 쉽게 찔리면 물을 버리고 뜨거울 때 포크로 으깬다. ,  6. 감자가 미지근해지면 오이, 당근, 마요네즈, 설탕, 남은 소금, 후추를 넣고 섞는다.]","[1. 약 3분 ,  2. 10분 ,  3. 5분 ,  4. 40초 ,  5. 약 1분 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 중불 ,  3. 불 사용 없음 ,  4. 전자레인지 700W ,  5. 불 사용 없음 ,  6. 불 사용 없음]",밀폐 냉장 2일; 실온에 2시간 이상 두지 않으며 냉동은 비추천,차갑게 먹고 재가열하지 않는다,[마요네즈 15g+플레인 요거트 15g으로 대체 가능],[오이와 당근은 각각 생략 가능],채소의 물기를 충분히 뺀 뒤 먹기 직전에 양념하면 물이 덜 생기고 간도 흐려지지 않는다.,뜨거운 감자에 마요네즈를 바로 넣으면 기름이 분리된다. 감자가 미지근해진 뒤 섞는다.,4,4
R0008,감자샐러드 샌드위치,샌드위치·토스트,샌드위치,"[식빵, 감자, 오이]","[전자레인지, 삶기, 무치기, 조립하기]","[냄비 하나, 전자레인지, 도시락 가능, 아침 식사, 든든한 한 끼, 남은 재료 활용]","[아침, 점심·저녁]",없음,1인분,"[식빵, 감자, 오이, 당근, 마요네즈, 설탕, 소금, 후추, 버터]","[2장(70g), 1개(180g), 30g, 15g, 25g, 2g(1/2작은술), 0.8g, 0.1g, 5g]",9,25,쉬움,"[칼, 도마, 냄비 또는 전자레인지용 용기, 볼, 포크]",보통,7,"[1. 감자는 껍질을 벗겨 2cm 크기로 썰고 끓는 물에서 10분 삶는다. ,  2. 오이는 얇게 썰어 소금 0.3g을 뿌리고 5분 뒤 물기를 짠다. ,  3. 당근은 잘게 다져 전자레인지 700W에서 30초 익힌다. ,  4. 익은 감자의 물을 버리고 뜨거울 때 으깬 뒤 5분 식힌다. ,  5. 감자에 오이, 당근, 마요네즈, 설탕, 남은 소금, 후추를 섞는다. ,  6. 식빵 한쪽 면에 버터를 얇게 바르고 감자샐러드를 올린 뒤 다른 식빵으로 덮는다. ,  7. 가장자리를 정리하고 반으로 잘라 바로 먹는다.]","[1. 10분 ,  2. 5분 ,  3. 30초 ,  4. 5분 ,  5. 약 1분 ,  6. 약 1분 ,  7. 약 1분]","[1. 중불 ,  2. 불 사용 없음 ,  3. 전자레인지 700W ,  4. 불 사용 없음 ,  5. 불 사용 없음 ,  6. 불 사용 없음 ,  7. 불 사용 없음]",완성 후 바로 먹는 것이 좋다; 랩으로 밀봉해 냉장 1일,재가열하지 않는다,[식빵은 모닝빵 2개로 대체 가능],[버터는 생략 가능; 오이·당근 중 하나는 생략 가능],채소의 물기를 충분히 뺀 뒤 먹기 직전에 양념하면 물이 덜 생기고 간도 흐려지지 않는다.,오이 물기를 충분히 짜지 않으면 빵이 금방 눅눅해진다. 샐러드는 완전히 식힌 뒤 빵에 넣는다.,4,4
R0009,감자전,반찬,전·부침,[감자],[부치기],"[재료 5개 이하, 원팬 요리, 칼 없이 가능, 설거지 적음, 도시락 가능, 밥반찬, 남은 재료 활용]","[점심·저녁, 간식]",없음,1인분,"[감자, 부침가루, 소금, 식용유, 물]","[1개(220g), 15g(1큰술), 1g, 15ml(1큰술), 15ml(1큰술, 필요 시)]",5,20,쉬움,"[강판 또는 믹서, 볼, 프라이팬, 뒤집개]",적음,6,"[1. 감자는 껍질을 벗겨 강판에 곱게 간다. ,  2. 간 감자에 부침가루와 소금을 넣어 섞고 너무 되직하면 물 15ml를 넣는다. ,  3. 프라이팬에 식용유 10ml를 두르고 중불에서 1분 예열한다. ,  4. 반죽을 두 장 분량으로 나눠 지름 10cm, 두께 0.7cm로 편다. ,  5. 중불에서 3분 굽고 가장자리가 투명해지면 뒤집는다. ,  6. 남은 식용유 5ml를 가장자리에 두르고 3분 더 구워 양면이 노릇하면 꺼낸다.]","[1. 약 2분 ,  2. 약 1분 ,  3. 1분 ,  4. 약 1분 ,  5. 3분 ,  6. 3분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 중불 ,  4. 불 사용 없음 ,  5. 중불 ,  6. 불 사용 없음]",가능하면 즉시 먹는다; 남으면 냉장 1일,마른 팬에 약불로 앞뒤 2분씩 데우거나 에어프라이어 180℃에서 4분 재가열,[부침가루는 밀가루 15g+소금 0.3g으로 대체 가능],[없음],팬을 충분히 예열한 뒤 반죽 가장자리가 굳고 윗면이 반쯤 마를 때 한 번만 뒤집으면 모양이 덜 무너진다.,전을 너무 두껍게 만들면 겉만 타고 속이 익지 않는다. 0.7cm 이하로 얇게 편다.,4,4
R0010,감자조림,반찬,조림,"[감자, 양파]",[조리기],"[설거지 적음, 도시락 가능, 밥반찬]",[점심·저녁],없음,1인분,"[감자, 양파, 물, 진간장, 설탕, 올리고당, 식용유, 다진 마늘, 통깨]","[1개(200g), 1/4개(50g), 150ml, 15ml(1큰술), 5g(1작은술), 10g(2작은술), 5ml(1작은술), 2g(1/2작은술), 1g]",9,25,쉬움,"[칼, 도마, 냄비 또는 깊은 프라이팬, 뒤집개]",적음,7,"[1. 감자는 껍질을 벗겨 2cm 크기로 썰고 찬물에 5분 담갔다 건진다. ,  2. 양파는 감자와 비슷한 크기로 썬다. ,  3. 냄비에 식용유를 두르고 중불에서 감자를 2분 볶는다. ,  4. 물, 진간장, 설탕, 다진 마늘을 넣고 센불에서 끓인다. ,  5. 끓으면 중약불로 낮춰 뚜껑을 반쯤 덮고 10분 익힌다. ,  6. 양파와 올리고당을 넣고 뚜껑을 열어 4~5분 조린다. ,  7. 감자가 익고 양념이 바닥에 2큰술 정도 남으면 불을 끄고 통깨를 뿌린다.]","[1. 5분 ,  2. 약 1분 ,  3. 2분 ,  4. 약 2분 ,  5. 10분 ,  6. 4~5분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 중불 ,  4. 센 불 ,  5. 중약불 ,  6. 중약불 ,  7. 불 끔]",밀폐 냉장 3일,전자레인지 700W에서 1분 데우거나 냄비에 물 15ml를 넣어 약불로 3분 데운다,[올리고당은 설탕 4g으로 대체 가능],[양파와 통깨는 생략 가능],"양념은 불을 켜기 전에 한 그릇에 미리 섞고, 국물이 빨리 줄면 물을 1큰술씩 보충한다.",감자를 너무 자주 저으면 부서진다. 냄비를 가볍게 흔들어 양념을 섞는다.,4,5
